Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR5517378_GSM2608671_NMR_BM_1400_SKN_Heterocephalus_glaber_RNA-Seq	2817704.0	788337.0	34739.0	18292044.0	4387.0
SRR5517379_GSM2608672_NMR_NM_1449_SKN_Heterocephalus_glaber_RNA-Seq	4741307.0	1621901.0	74269.0	22679216.0	2912.0
SRR5517380_GSM2608674_NMR_BF_1816_SKN_Heterocephalus_glaber_RNA-Seq	3510940.0	1234255.0	58880.0	22959633.0	2777.0
SRR5517381_GSM2608676_NMR_NF_2411_SKN_Heterocephalus_glaber_RNA-Seq	5060964.0	1969506.0	99095.0	28232354.0	7074.0
SRR5517382_GSM2608678_NMR_NF_2969_SKN_Heterocephalus_glaber_RNA-Seq	6345790.0	2362377.0	104731.0	28873059.0	3769.0
SRR5517383_GSM2608680_NMR_BM_3274_SKN_Heterocephalus_glaber_RNA-Seq	4253655.0	1530133.0	73982.0	24327838.0	3019.0
SRR5517384_GSM2608681_NMR_NM_3295_SKN_Heterocephalus_glaber_RNA-Seq	5018430.0	1293299.0	53943.0	30516128.0	3689.0
SRR5517385_GSM2608683_NMR_NF_3605_SKN_Heterocephalus_glaber_RNA-Seq	4955631.0	1735375.0	84384.0	27247977.0	3403.0
SRR5517386_GSM2608685_NMR_NF_4060_SKN_Heterocephalus_glaber_RNA-Seq	4526733.0	1709077.0	80762.0	23581922.0	0.0
SRR5517387_GSM2608687_NMR_BF_4121_SKN_Heterocephalus_glaber_RNA-Seq	4431494.0	1863661.0	99983.0	23120181.0	5904.0
SRR5517388_GSM2608689_NMR_BF_4772_SKN_Heterocephalus_glaber_RNA-Seq	5823315.0	1851930.0	82874.0	28177356.0	3594.0
SRR5517389_GSM2608691_NMR_NM_4925_SKN_Heterocephalus_glaber_RNA-Seq	4481311.0	1714188.0	81401.0	28232255.0	6904.0
SRR5517390_GSM2608693_NMR_BM_5982_SKN_Heterocephalus_glaber_RNA-Seq	5474783.0	1875055.0	89535.0	26162548.0	3361.0
SRR5517391_GSM2608695_NMR_NM_6074_SKN_Heterocephalus_glaber_RNA-Seq	4300270.0	1388877.0	59064.0	20517820.0	2627.0
SRR5517392_GSM2608697_NMR_NM_6206_SKN_Heterocephalus_glaber_RNA-Seq	5507475.0	1549240.0	61619.0	24305099.0	3143.0
SRR5517393_GSM2608699_NMR_BF_6382_SKN_Heterocephalus_glaber_RNA-Seq	3691902.0	1496193.0	78175.0	19768135.0	2504.0
SRR5517394_GSM2608701_NMR_BM_6656_SKN_Heterocephalus_glaber_RNA-Seq	5469603.0	1732302.0	81923.0	29938761.0	3723.0
SRR5517410_GSM2608702_NMR_BF_6841_SKN_Heterocephalus_glaber_RNA-Seq	5230004.0	1824558.0	89313.0	27582620.0	3473.0
SRR5517411_GSM2608704_NMR_NF_3605_THY_Heterocephalus_glaber_RNA-Seq	4382299.0	1203628.0	53508.0	22944764.0	0.0
SRR5517412_GSM2608706_NMR_BM_1215_HRT_Heterocephalus_glaber_RNA-Seq	3111313.0	753321.0	18681.0	15852736.0	0.0
SRR5517413_GSM2608706_NMR_BM_1215_HRT_Heterocephalus_glaber_RNA-Seq	420363.0	100433.0	2465.0	2089975.0	0.0
SRR5517414_GSM2608708_NMR_BF_1816_HYP_Heterocephalus_glaber_RNA-Seq	1451262.0	266037.0	9006.0	6995465.0	872.0
SRR5517415_GSM2608708_NMR_BF_1816_HYP_Heterocephalus_glaber_RNA-Seq	2896543.0	533088.0	18336.0	14193608.0	1764.0
SRR5517416_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq	1982718.0	798844.0	29032.0	26466014.0	0.0
SRR5517417_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq	4532540.0	1251444.0	58770.0	22963907.0	0.0
SRR5517418_GSM2608713_NMR_BF_4772_HYP_Heterocephalus_glaber_RNA-Seq	1660636.0	317602.0	11556.0	8167741.0	2032.0
SRR5517419_GSM2608713_NMR_BF_4772_HYP_Heterocephalus_glaber_RNA-Seq	2799145.0	536754.0	19115.0	13962626.0	1732.0
SRR5517420_GSM2608715_NMR_NM_4925_ADR_Heterocephalus_glaber_RNA-Seq	3494118.0	988990.0	38671.0	14890830.0	0.0
SRR5517421_GSM2608715_NMR_NM_4925_ADR_Heterocephalus_glaber_RNA-Seq	1264938.0	359255.0	14112.0	5389154.0	0.0
SRR5517422_GSM2608717_NMR_BF_6382_HYP_Heterocephalus_glaber_RNA-Seq	1387347.0	263735.0	9076.0	7022382.0	868.0
SRR5517423_GSM2608717_NMR_BF_6382_HYP_Heterocephalus_glaber_RNA-Seq	2514022.0	479413.0	16538.0	12917245.0	1593.0
SRR5517424_GSM2608718_NMR_BF_6841_HRT_Heterocephalus_glaber_RNA-Seq	2884071.0	892029.0	25299.0	27001139.0	0.0
SRR5517425_GSM2608718_NMR_BF_6841_HRT_Heterocephalus_glaber_RNA-Seq	6481490.0	1640886.0	44183.0	35391080.0	0.0
SRR5517426_GSM2608720_NMR_BF_6841_PIT_Heterocephalus_glaber_RNA-Seq	3339260.0	571393.0	22907.0	13304153.0	1724.0
SRR5517427_GSM2608720_NMR_BF_6841_PIT_Heterocephalus_glaber_RNA-Seq	1021074.0	175428.0	7166.0	4088828.0	529.0
SRR5517428_GSM2608722_NMR_BF_6841_HYP_Heterocephalus_glaber_RNA-Seq	1438640.0	258149.0	8992.0	7230033.0	894.0
SRR5517429_GSM2608722_NMR_BF_6841_HYP_Heterocephalus_glaber_RNA-Seq	2161796.0	391974.0	13433.0	11037046.0	1361.0
SRR5517430_GSM2608724_NMR_NF_3439_SKN_Heterocephalus_glaber_RNA-Seq	3944050.0	1532658.0	75641.0	20804422.0	2636.0
